d,S0,L,t_L,U,t_U,Point,CI_Low,CI_High
2,90,8.051486015319824,546.4564700126648,8.416764259338379,83.82284307479858,8.234125137329102,8.039737428973336,8.478162645336003
2,100,13.879451751708984,549.9429588317871,14.530056953430176,88.44883513450623,14.20475435256958,13.86482682261516,14.607602214276682
2,110,24.344100952148438,532.6459739208221,25.14337730407715,88.58330392837524,24.743739128112793,24.330471419449093,25.222776384620808
3,90,11.230785369873047,1290.3236980438232,11.768646240234375,107.52973079681396,11.499715805053711,11.216956798235234,11.846075656516076
3,100,18.634693145751953,1315.174278974533,19.594284057617188,107.7100260257721,19.11448860168457,18.617706835894317,19.693199815015053
3,110,29.70514678955078,1294.0509068965912,31.156713485717773,107.82657289505005,30.430930137634277,29.68817887200745,31.277768434724525
5,90,16.35274314880371,2353.135285139084,17.351703643798828,146.30666494369507,16.85222339630127,16.33610440184623,17.470048110364225
5,100,25.791873931884766,2318.1947362422943,27.61005973815918,141.25708889961243,26.700966835021973,25.771809359012614,27.77131876023433
5,110,37.648685455322266,2398.2667121887207,39.53207015991211,143.12160325050354,38.59037780761719,37.62766811639549,39.68632186356761
10,90,24.961101531982422,646.1566641330719,27.60277557373047,52.56918120384216,26.281938552856445,24.932650214154606,27.89553413779648
10,100,36.731964111328125,638.681244134903,39.84235763549805,53.422810077667236,38.287160873413086,36.699208610040955,40.126359734816795
10,110,49.33782958984375,609.6650190353394,52.932003021240234,53.21223020553589,51.13491630554199,49.302502889865586,53.274934387646
20,90,36.23284912109375,2492.8234338760376,38.508018493652344,92.33823418617249,37.37043380737305,36.201537606416395,38.840211260198224
20,100,49.76692199707031,2494.1174142360687,52.471221923828125,93.24018406867981,51.11907196044922,49.731995584013845,52.8212901799158
20,110,63.483707427978516,2473.3985583782196,66.86544799804688,92.67962598800659,65.1745777130127,63.445613612968025,67.28738372212865
30,90,42.197662353515625,86.15844821929932,45.97924041748047,69.40419363975525,44.08845138549805,42.15507354786951,46.48219554921905
30,100,53.71376037597656,80.76857709884644,63.58498001098633,69.00342607498169,58.649370193481445,53.66885681470402,64.58239853053695
30,110,71.64785766601562,98.1495213508606,75.35810852050781,69.20405912399292,73.50298309326172,71.59513917461834,75.9054068429996
50,90,52.59384536743164,928.413688659668,53.44062423706055,122.17700386047363,53.017234802246094,52.54879466399395,53.65076767949339
50,100,67.97735595703125,939.9385738372803,69.02640533447266,121.90451407432556,68.50188064575195,67.92726600042165,69.27350498923145
50,110,83.45941162109375,961.8242919445038,84.63663482666016,123.49866318702698,84.04802322387695,83.40417295185217,84.90267525030053
100,90,65.34498596191406,3957.1576492786407,65.80892944335938,474.2036716938019,65.57695770263672,65.2992855658542,65.95871926940399
100,100,82.13922119140625,3915.3470990657806,82.58367156982422,470.5056369304657,82.36144638061523,82.08855842628311,82.74224922758006
100,110,98.95423889160156,3981.199275970459,99.5469741821289,467.83736205101013,99.25060653686523,98.89841874339261,99.73877097343122
