d,rho,L,t_L,U,t_U,Point,CI_Low,CI_High
2,0.6,90.66275024414062,16.60860013961792,98.38334655761719,169.44220900535583,94.5230484008789,98.39354943933972,90.28086621948404
2,0.1,90.89119720458984,16.58245301246643,97.92447662353516,140.40350699424744,94.4078369140625,97.93554763034187,90.49935370157982
2,0.6,90.66275024414062,16.345046997070312,98.38334655761719,160.7700641155243,94.5230484008789,90.28086621948404,98.39354943933972
2,0.1,90.89119720458984,16.25322699546814,97.92447662353516,162.05177807807922,94.4078369140625,90.49935370157982,97.93554763034187
3,0.6,89.58382415771484,19.71546697616577,97.26902770996094,451.0713860988617,93.42642593383789,89.13588069360938,97.28081795099305
3,0.1,90.06364440917969,19.93757390975952,95.93243408203125,462.1863651275635,92.99803924560547,89.64290352109708,95.9459484017399
5,0.6,89.69155883789062,23.328934907913208,95.46971893310547,1003.7921698093414,92.58063888549805,89.25642045493267,95.48341142972795
5,0.1,89.61189270019531,22.783524990081787,92.06690979003906,999.0619020462036,90.83940124511719,89.29499080288325,92.08285650882995
10,0.6,86.9713134765625,28.446982860565186,92.63853454589844,987.2578098773956,89.80492401123047,86.39255280415267,92.66898743046977
10,0.1,82.45772552490234,31.196830987930298,84.77930450439453,917.9892673492432,83.61851501464844,81.91300560189607,84.81271807515017
15,0.6,85.2441177368164,37.21105909347534,90.67081451416016,1537.8404757976532,87.95746612548828,84.64369908116075,90.70303265384968
15,0.1,79.56436157226562,40.47225618362427,79.71864318847656,1592.0399191379547,79.6415023803711,79.45610232206265,79.75005066081052
30,0.6,81.99244689941406,62.430355072021484,87.28986358642578,1573.2569098472595,84.64115524291992,81.31904210833311,87.32394318676398
30,0.1,72.38941955566406,65.66659593582153,72.43781280517578,1722.4473102092743,72.41361618041992,72.32939675998595,72.46193710540662
